Datum,Gemeldete Fälle,Stationäre Behandlung,Intensivmedizin,gestorben
01.03.2020,1,1,0,0
02.03.2020,3,1,0,0
03.03.2020,5,4,0,0
04.03.2020,8,4,0,0
05.03.2020,20,4,0,0
06.03.2020,25,4,0,0
07.03.2020,26,4,0,0
08.03.2020,37,4,0,0
09.03.2020,59,4,0,0
10.03.2020,93,4,0,0
11.03.2020,136,5,0,0
12.03.2020,183,5,0,0
13.03.2020,244,8,0,0
14.03.2020,273,15,0,0
15.03.2020,298,16,0,0
16.03.2020,361,20,3,0
17.03.2020,456,21,4,0
18.03.2020,601,28,9,0
19.03.2020,779,43,15,0
20.03.2020,947,44,18,1
21.03.2020,1074,39,14,1
22.03.2020,1144,41,20,1
23.03.2020,1302,47,22,2
24.03.2020,1501,112,26,3
25.03.2020,1749,208,38,4
26.03.2020,2033,235,46,8
27.03.2020,2238,261,53,8
28.03.2020,2434,300,64,9
29.03.2020,2521,312,70,11
30.03.2020,2684,381,84,13
31.03.2020,2897,380,92,15
01.04.2020,3084,479,104,17
02.04.2020,3309,458,116,20
03.04.2020,3547,473,124,22
04.04.2020,3655,502,127,24
05.04.2020,3729,507,126,26
06.04.2020,3874,527,133,28
07.04.2020,4069,505,118,32
08.04.2020,4238,546,126,37
09.04.2020,4357,559,136,42
10.04.2020,4446,615,143,46
11.04.2020,4553,601,139,50
12.04.2020,4583,566,133,51
13.04.2020,4667,568,141,56
14.04.2020,4736,582,137,62
15.04.2020,4870,599,128,74
16.04.2020,4971,602,142,84
17.04.2020,5091,585,146,91
18.04.2020,5187,592,153,92
19.04.2020,5225,567,156,94
20.04.2020,5265,567,156,97
21.04.2020,5341,596,164,105
22.04.2020,5355,596,164,105
23.04.2020,5476,565,152,112
24.04.2020,5532,523,154,113
25.04.2020,5607,524,156,123
26.04.2020,5644,546,160,125
27.04.2020,5677,542,152,127
28.04.2020,5738,540,158,137
29.04.2020,5821,604,157,147
30.04.2020,5881,566,162,149
01.05.2020,5936,527,160,152
02.05.2020,5970,541,159,154
03.05.2020,6004,511,152,154
04.05.2020,6036,484,145,154
05.05.2020,6086,476,144,159
06.05.2020,6143,495,141,162
07.05.2020,6203,508,152,163
08.05.2020,6236,467,150,164
09.05.2020,6256,469,142,165
10.05.2020,6267,486,151,165
11.05.2020,6269,447,135,165
12.05.2020,6294,412,131,170
13.05.2020,6338,352,123,173
14.05.2020,6393,282,103,177
15.05.2020,6424,259,93,181
16.05.2020,6443,231,92,181
17.05.2020,6454,229,87,180
18.05.2020,6474,211,71,182
19.05.2020,6503,194,67,186
20.05.2020,6552,185,66,186
21.05.2020,6582,172,62,190
22.05.2020,6611,167,59,190
23.05.2020,6636,166,58,191
24.05.2020,6641,177,60,191
25.05.2020,6651,177,60,191
26.05.2020,6672,164,58,193
27.05.2020,6702,171,56,195
28.05.2020,6737,146,47,196
29.05.2020,6766,148,40,197
30.05.2020,6799,150,43,198
31.05.2020,6815,144,41,198
01.06.2020,6838,138,40,198
02.06.2020,6873,130,42,198
03.06.2020,6900,117,43,200
04.06.2020,6945,123,46,200
05.06.2020,6963,139,45,201
06.06.2020,6996,132,47,205
07.06.2020,7015,129,42,205
08.06.2020,7041,135,44,205
09.06.2020,7081,132,42,206
10.06.2020,7135,127,41,208
11.06.2020,7164,124,42,208
12.06.2020,7251,126,42,208
13.06.2020,7281,126,42,208
14.06.2020,7321,130,42,208
